UiMin_0,UiMin_1,UiMax_0,UiMax_1,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,ID,UiMapID,OrderIndex,MapID,AreaID,WMODoodadPlacementID,WMOGroupID
0,0,1,1,-1716.6700439453,-7250,-1000000,1808.3299560547,-1962.5,1000000,39246,1,0,1,14,0,0
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39247,2,0,1,0,176000,1750
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39248,2,1,1,0,176000,1751
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39249,2,2,1,0,176000,1752
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39250,2,3,1,0,176000,1753
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39251,2,4,1,0,176000,1754
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39252,2,5,1,0,176000,1755
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39253,2,6,1,0,176000,1756
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39254,2,7,1,0,176000,1757
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39255,2,8,1,0,176000,1759
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39256,2,9,1,0,176000,1760
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39257,2,10,1,0,176000,1761
0,0,1,1,-171.8330078125,-4432.5,-10000,5.50033283234,-4166.5,1000000,39258,2,11,1,0,176000,1762
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39259,3,0,1,0,183741,2341
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39260,3,1,1,0,183741,2342
0,0,1,1,-286.6669921875,-5177.5004882812,-1000,-203.33299255371,-5052.4995117188,1000000,39261,3,2,1,0,183741,2343
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39262,3,3,1,0,183741,2344
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39263,3,4,1,0,183741,2345
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39264,3,5,1,0,183741,2346
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39265,3,6,1,0,183741,2347
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39266,3,7,1,0,183741,2348
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39267,3,8,1,0,183741,2349
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39268,3,9,1,0,183741,2350
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39269,3,10,1,0,183741,2352
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39270,3,11,1,0,183741,2353
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39271,3,12,1,0,183741,2354
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39272,4,0,1,0,183741,2339
0,0,1,1,-286.6669921875,-5177.5004882812,-10000,-203.33299255371,-5052.4995117188,1000000,39273,4,1,1,0,183741,2340
0,0,1,1,-286.6669921875,-5177.5004882812,44,-203.33299255371,-5052.4995117188,1000000,39274,4,2,1,0,183741,2343
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39275,5,0,1,0,250582,1750
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39276,5,1,1,0,250582,1751
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39277,5,2,1,0,250582,1752
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39278,5,3,1,0,250582,1753
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39279,5,4,1,0,250582,1754
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39280,5,5,1,0,250582,1755
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39281,5,6,1,0,250582,1756
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39282,5,7,1,0,250582,1757
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39283,5,8,1,0,250582,1759
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39284,5,9,1,0,250582,1760
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39285,5,10,1,0,250582,1761
0,0,1,1,1400.5,-4899,-10000,1580.5,-4629,1000000,39286,5,11,1,0,250582,1762
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39287,6,0,1,0,172378,1767
0,0,1,1,799.25,-4880.5,-10000,971.25,-4622.5,1000000,39288,6,1,1,0,172378,1768
