ItemID,ID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum
17,14,0,153,0,9
25,15,0,154,0,9
35,16,0,155,0,9
36,17,0,156,0,9
37,18,0,157,0,9
38,19,0,158,0,5
39,20,0,159,0,9
40,21,0,160,0,9
43,22,0,161,0,9
44,23,0,162,0,9
45,24,0,163,0,5
47,25,0,164,0,9
48,26,0,165,0,9
49,27,0,166,0,5
51,28,0,167,0,9
52,29,0,168,0,9
53,30,0,169,0,5
55,31,0,170,0,9
56,32,0,171,0,9
57,33,0,172,0,9
59,34,0,173,0,9
60,35,0,174,0,9
61,36,0,175,0,9
79,37,0,176,0,9
80,38,0,177,0,9
85,39,0,178,0,9
120,40,0,179,0,9
121,41,0,180,0,9
127,42,0,181,0,5
129,43,0,182,0,9
139,44,0,183,0,9
140,45,0,184,0,9
143,46,0,185,0,9
147,47,0,186,0,9
148,48,0,187,0,5
153,49,0,188,0,9
154,50,0,189,0,5
192,51,0,190,0,9
193,52,0,191,0,9
194,53,0,192,0,9
195,54,0,193,0,9
200,55,0,194,0,9
201,56,0,195,0,9
202,57,0,196,0,9
203,58,0,197,0,9
209,59,0,198,0,9
210,60,0,199,0,9
236,61,0,200,0,9
237,62,0,201,0,9
238,63,0,202,0,9
239,64,0,203,0,9
285,65,0,204,0,9
286,66,0,205,0,9
287,67,0,206,0,9
647,68,0,207,0,4
710,69,0,208,0,9
711,70,0,209,0,9
714,71,0,210,0,9
718,72,0,211,0,9
719,73,0,212,0,9
720,74,0,213,0,4
727,75,0,214,0,4
746,76,0,215,0,9
753,77,0,216,0,4
754,78,0,217,0,4
756,79,0,218,0,4
763,80,0,219,0,9
766,81,0,220,0,9
767,82,0,221,0,9
768,83,0,222,0,9
776,84,0,223,0,4
778,85,0,224,0,9
781,86,0,225,0,9
788,87,0,226,0,9
789,88,0,227,0,4
790,89,0,228,0,4
791,90,0,229,0,4
792,91,0,230,0,9
793,92,0,231,0,9
794,93,0,232,0,9
795,94,0,233,0,9
796,95,0,234,0,9
797,96,0,235,0,9
798,97,0,236,0,9
799,98,0,237,0,9
809,99,0,238,0,4
810,100,0,239,0,4
811,101,0,240,0,4
812,102,0,241,0,4
816,103,0,242,0,4
820,104,0,243,0,4
821,105,0,244,0,4
826,106,0,245,0,4
827,107,0,246,0,4
832,108,0,247,0,4
837,109,0,248,0,9
838,110,0,249,0,9
839,111,0,250,0,9
840,112,0,251,0,9
843,113,0,252,0,9
844,114,0,253,0,9
845,115,0,254,0,9
846,116,0,255,0,9
847,117,0,256,0,9
848,118,0,257,0,9
849,119,0,258,0,9
850,120,0,259,0,9
851,121,0,260,0,9
852,122,0,261,0,9
853,123,0,262,0,9
854,124,0,263,0,9
859,125,0,264,0,5
860,126,0,265,0,9
863,127,0,266,0,4
864,128,0,267,0,4
865,129,0,268,0,4
866,130,0,269,0,4
867,131,0,270,0,4
868,132,0,271,0,4
869,133,0,272,0,4
870,134,0,273,0,4
871,135,0,274,0,4
872,136,0,275,0,1
873,137,0,276,0,4
876,138,0,277,0,9
880,139,0,278,0,4
885,140,0,279,0,4
886,141,0,280,0,4
888,142,0,281,0,1
890,143,0,282,0,4
892,144,0,283,0,4
897,145,0,284,0,4
899,146,0,285,0,4
906,147,0,286,0,9
907,148,0,287,0,9
908,149,0,288,0,9
909,150,0,289,0,9
911,151,0,290,0,4
913,152,0,291,0,0
914,153,0,292,0,4
920,154,0,293,0,4
922,155,0,294,0,9
923,156,0,295,0,9
924,157,0,296,0,9
925,158,0,297,0,9
926,159,0,298,0,9
927,160,0,228,0,9
928,161,0,299,0,9
934,162,0,300,0,4
935,163,0,301,0,4
936,164,0,302,0,4
937,165,0,303,0,4
940,166,0,304,0,4
943,167,0,305,0,4
944,168,0,306,0,4
945,169,0,307,0,9
948,170,0,307,0,9
983,171,0,308,0,2
1008,172,0,309,0,9
1009,173,0,310,0,5
1010,174,0,311,0,9
1011,175,0,312,0,9
1018,176,0,313,0,9
1117,177,0,314,0,9
1121,178,0,315,0,4
1131,179,0,316,0,5
1154,180,0,247,0,9
1155,181,0,317,0,1
1158,182,0,318,0,2
1159,183,0,319,0,9
1161,184,0,320,0,9
1162,185,0,321,0,9
1163,186,0,322,0,9
1168,187,0,323,0,4
1169,188,0,324,0,4
1171,189,0,325,0,2
